	route	count
0	main	5984
1	main-archive	837
2	main-rabota	802
3	main-internet	686
4	main-bonus	656
5	main-news	594
6	main-tariffs	511
7	main-online	445
8	main-vklad	408
9	main-archive-rabota	136
10	main-rabota-archive	134
11	main-rabota-bonus	111
12	main-bonus-archive	109
13	main-news-rabota	108
14	main-bonus-rabota	105
15	main-internet-archive	104
16	main-internet-rabota	104
17	main-archive-news	103
18	main-rabota-news	103
19	main-archive-bonus	100
20	main-archive-internet	100
21	main-news-archive	94
22	main-rabota-internet	92
23	main-tariffs-internet	89
24	main-internet-bonus	85
25	main-internet-news	81
26	main-news-bonus	80
27	main-news-internet	78
28	main-archive-tariffs	76
29	main-archive-online	76
