	route	count
0	main	8077
1	main-archive	1090
2	main-rabota	1027
3	main-internet	882
4	main-bonus	863
5	main-news	758
6	main-tariffs	669
7	main-online	581
8	main-vklad	513
9	main-rabota-archive	167
10	main-archive-rabota	167
11	main-bonus-archive	140
12	main-rabota-bonus	136
13	main-news-rabota	133
14	main-archive-internet	130
15	main-bonus-rabota	130
16	main-rabota-news	128
17	main-internet-rabota	126
18	main-internet-archive	123
19	main-archive-news	122
20	main-rabota-internet	121
21	main-archive-bonus	116
22	main-internet-bonus	114
23	main-tariffs-internet	113
24	main-news-archive	112
25	main-news-internet	107
26	main-tariffs-archive	102
27	main-archive-tariffs	101
28	main-main	98
29	main-internet-news	98
